model_id,strategy,n_samples,score_definition,confidence_threshold,total_evaluated_fields,accepted_fields,coverage,accepted_correct,precision,precision_ci_low,precision_ci_high,review_fields,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.093333333333333338,3682,3682,1,2442,0.66322650733297117,0.64779807183977745,0.67831470686465067,0,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.20499999999999996,3682,3681,0.99972840847365563,2442,0.66340668296658512,0.64797795117014045,0.6784947108002366,1,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.30238095238095242,3682,3680,0.99945681694731126,2442,0.66358695652173916,0.64815793146792056,0.67867480915317979,2,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.40000000000000002,3682,3679,0.99918522542096688,2442,0.66376732807828209,0.64833801281983172,0.6788550019959243,3,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.41250000000000003,3682,3678,0.99891363389462251,2442,0.66394779771615009,0.64851819531269139,0.6790352894009839,4,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.42692307692307691,3682,3677,0.99864204236827814,2441,0.66385640467772644,0.64842375505726479,0.67894704139808448,5,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.42727272727272725,3682,3676,0.99837045084193377,2441,0.66403699673558214,0.64860406125994785,0.67912744932162372,6,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.4300000000000001,3682,3675,0.99809885931558939,2441,0.66421768707482998,0.64878446881705354,0.67930795199276339,7,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.44374999999999998,3682,3674,0.99782726778924502,2441,0.66439847577572131,0.64896497781576568,0.67948854948427928,8,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
models/gemini-2.0-flash,Grid Warp,20,raw_consensus_character_agreement,0.44444444444444442,3682,3673,0.99755567626290065,2441,0.66457936291859521,0.64914558834337166,0.67966924186901767,9,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Correct means source CER equals zero. Raw agreement is not a calibrated probability; v7 has 3,682 rows; the paper/v9/v10 3,684-row rule is a separate lineage."
